"","2199815454","7071524730","9355532901","9733049784","9735387512"
"751114113",58.3,29.6,75.4,28,23
"920440109",43.8,16.2,71.9,10.7,39.6
"930270105",81.2,47.9,101.7,37.5,50.1
"751197316",62.2,30.9,82.5,23.3,31
"751176716",45.6,12.6,71.3,6.5,31.7
"940210107",59.9,66.9,51.7,72.4,41.8
"920090106",57.2,32.4,85.4,23.1,53.3
"920630104",46.6,51.5,65.5,53.6,69.9
"950180701",84.5,63.6,111,51.8,84.2
"751103703",51.8,20.6,72.1,18.3,20.5
"930050802",119.9,88.7,137.3,79.6,86.7
"930500112",107.7,84.1,122.2,80.2,71.8
"950180304",68.8,48,95.3,38.9,68.9
"920440121",45.2,14.6,73.4,7.9,35.4
"940680204",92.8,73.7,100,75.1,57.2
"920400505",10.2,40.9,24.9,49.9,33.4
"940810308",63.4,59.8,65.2,64.4,34.5
"940220113",78.2,74.8,69.9,79.4,49.6
"751062201",36.8,25.5,53.4,31.1,1.9
"954280103",96,66.4,124.2,52.2,78
"955980105",102.5,72.9,130.6,58.6,88.6
"940760109",54.5,57.9,56.1,62.5,31.9
"930140104",122.1,90.9,137.1,87,86.7
"783110103",67.4,56.1,93.8,50.3,78.1
"940440105",118.7,102.5,111.2,106.8,84.1
"920750103",22.5,39.6,30.8,49,25
"920040702",63.5,38.4,91.4,25,57.4
"751187104",54.8,22.2,76.7,15.8,25.9
"751114314",51.8,29.3,68.7,30.4,15.9
"930710105",118.9,87.7,136.3,82,85.6
"930610104",71,41.3,87.7,38.1,35.1
"952520103",99.3,75.1,125.8,63.2,95.6
"930100302",98.7,68.7,113.5,64.9,62.8
"930460104",110.8,79.6,128.2,75.7,77.5
"930660602",79.7,47,105,33.7,53.4
"751103707",53.1,21.9,74.3,19.7,22.7
"786460403",49.7,81.7,40.5,86,82.9
"920510402",37.8,18.7,65.9,17.8,41.2
"785860201",80.3,72.2,99.1,66.4,94.2
"920020306",65.5,86.9,41.6,96.2,65.4
"940190108",115.9,96.2,123.6,97.6,80.2
"940110103",98.7,82.6,98.6,86.8,64.1
"920040602",58.2,32.6,86.4,19.4,51.8
"751104011",55,23.8,75.3,21.6,23.8
"751124810",53.6,31.1,67.7,34.7,17.3
"751207702",63.4,35.1,80.3,33.2,27.5
"751135004",50.1,43.5,60.5,48.1,17.5
"751124623",58.8,36.2,72.6,37.4,22.2
"930780113",129.4,98.2,146.9,93,96.2
"940030105",44.8,51.9,46.1,57.8,27
"940440103",109,95.5,101.5,99.8,77
