"","TIME","TYPE"
"1",15.5,"Private"
"2",14.9,"Private"
"3",15.1,"Private"
"4",14.3,"Private"
"5",12.9,"Private"
"6",12.3,"Private"
"7",12.9,"Private"
"8",9.3,"Private"
"9",10.7,"Private"
"10",9.5,"Private"
"11",8.8,"Private"
"12",11.9,"Private"
"13",12.1,"Private"
"14",11.7,"Private"
"15",10.9,"Private"
"16",9.4,"Private"
"17",10.3,"Private"
"18",10.5,"Private"
"19",11.2,"Private"
"20",11.7,"Private"
"21",13.7,"Private"
"22",9.7,"Private"
"23",13.3,"Private"
"24",12.4,"Private"
"25",11.3,"Private"
"26",13.8,"Private"
"27",13.8,"Private"
"28",15.2,"Private"
"29",13.9,"Private"
"30",13.2,"Private"
"31",13.5,"Private"
"32",15.6,"Private"
"33",14.3,"Private"
"34",14.4,"Private"
"35",16.5,"Private"
"36",15.4,"Private"
"37",15.1,"Private"
"38",14.9,"Private"
"39",15.3,"Private"
"40",14.3,"Private"
"41",10.9,"Private"
"42",13,"Private"
"43",12.5,"Private"
"44",13.7,"Private"
"45",12.9,"Private"
"46",14.5,"Private"
"47",10.2,"Private"
"48",11.4,"Private"
"49",11.3,"Private"
"50",12,"Private"
"51",12.7,"Private"
"52",5.9,"Private"
"53",6.2,"Private"
"54",8.2,"Private"
"55",7.5,"Private"
"56",7.6,"Private"
"57",7.9,"Private"
"58",9.4,"Private"
"59",8.3,"Private"
"60",9.5,"Private"
"61",10.2,"Private"
"62",12.2,"Private"
"63",13.1,"Private"
"64",13.7,"Private"
"65",13,"Private"
"66",10.9,"Private"
"67",10.1,"Private"
"68",12,"Private"
"69",13.8,"Private"
"70",15.3,"Private"
"71",16,"Private"
"72",16.5,"Private"
"73",17.5,"Private"
"74",16.4,"Private"
"75",13.9,"Private"
"76",17.9,"Private"
"77",17.5,"Private"
"78",15.3,"Private"
"79",13.9,"Private"
"80",14.9,"Private"
"81",15.3,"Private"
"82",16.5,"Private"
"83",15.9,"Private"
"84",16.4,"Private"
"85",17.4,"Private"
"86",16.4,"Private"
"87",17.7,"Private"
"88",18.7,"Private"
"89",17.8,"Private"
"90",18.4,"Private"
"91",17.1,"Private"
"92",17.7,"Private"
"93",18.3,"Private"
"94",19.5,"Private"
"95",17.9,"Private"
"96",16.1,"Private"
"97",16,"Private"
"98",19.5,"Private"
"99",19.9,"Private"
"100",19.6,"Private"
"101",17.5,"Private"
"102",17.2,"Private"
"103",17.4,"Private"
"104",17.5,"Private"
"105",19.1,"Private"
"106",20,"Private"
"107",17.9,"Private"
"108",22.3,"Private"
"109",22,"Private"
"110",23.2,"Private"
"111",21.2,"Private"
"112",23.4,"Private"
"113",24,"Private"
"114",21.1,"Private"
"115",23.8,"Private"
"116",23.5,"Private"
"117",21.2,"Private"
"118",20.3,"Private"
"119",17.2,"Private"
"120",12.6,"Private"
"121",11,"Private"
"122",10,"Private"
"123",11.7,"Private"
"124",14.9,"Private"
"125",8.8,"Private"
"126",7.7,"Private"
"127",7.4,"Private"
"128",5.7,"Private"
"129",3.4,"Private"
"130",4.4,"Private"
"131",3.7,"Private"
"132",4.6,"Private"
"133",5.6,"Private"
"134",3.6,"Private"
"135",4.4,"Private"
"136",2.4,"Private"
"137",2.9,"Private"
"138",2,"Private"
"139",7,"Private"
"140",4.5,"Private"
"141",6.3,"Private"
"142",5.6,"Private"
"143",4.4,"Private"
"144",4.1,"Private"
"145",2.8,"Private"
"146",3.3,"Private"
"147",4.4,"Private"
"148",4.1,"Private"
"149",2.6,"Private"
"150",3.6,"Private"
"151",3.9,"Private"
"152",3.7,"Private"
"153",4.2,"Private"
"154",6.9,"Private"
"155",6.5,"Private"
"156",5.3,"Private"
"157",4.7,"Private"
"158",6,"Private"
"159",5.4,"Private"
"160",4,"Private"
"161",8.2,"Private"
"162",10.5,"Private"
"163",9.3,"Private"
"164",7.9,"Private"
"165",6.9,"Private"
"166",7.3,"Private"
"167",8.3,"Private"
"168",8.5,"Private"
"169",7.4,"Private"
"170",7.4,"Private"
"171",9,"Private"
"172",8.9,"Private"
"173",10,"Private"
"174",6.7,"Private"
"175",7.4,"Private"
"176",8.3,"Private"
"177",7.8,"Private"
"178",7,"Private"
"179",6.9,"Private"
"180",7.6,"Private"
"181",5,"Private"
"182",4.2,"Private"
"183",4.5,"Private"
"184",6.7,"Private"
"185",5.3,"Private"
"186",4,"Private"
"187",2.8,"Private"
"188",9,"Private"
"189",9.9,"Private"
"190",11,"Private"
"191",9.7,"Private"
"192",9.8,"Private"
"193",11.9,"Private"
"194",10.8,"Private"
"195",8.7,"Private"
"196",8.7,"Private"
"197",7.2,"Private"
"198",6.8,"Private"
"199",7.5,"Private"
"200",8,"Private"
"201",7.6,"Private"
"202",8.2,"Private"
"203",10.7,"Private"
"204",14,"Private"
"205",10.8,"Private"
"206",11.6,"Private"
"207",11.1,"Private"
"208",11.2,"Private"
"209",13.7,"Private"
"210",12.2,"Private"
"211",12.1,"Private"
"212",10.6,"Private"
"213",11.4,"Private"
"214",10.5,"Private"
"215",9.9,"Private"
"216",10.4,"Private"
"217",5.1,"Private"
"218",8.2,"Private"
"219",7.3,"Private"
"220",7.9,"Private"
"221",8.1,"Private"
"222",7.7,"Private"
"223",9.7,"Private"
"224",9.7,"Private"
"225",10.3,"Private"
"226",11.1,"Private"
"227",10.9,"Private"
"228",12.5,"Private"
"229",12.3,"Private"
"230",10.8,"Private"
"231",11.1,"Private"
"232",9.7,"Private"
"233",11.6,"Private"
"234",9.4,"Private"
"235",10.3,"Private"
"236",9.6,"Private"
"237",9.3,"Private"
"238",1.6,"Private"
"239",3.5,"Private"
"240",5.3,"Private"
"241",9.3,"Private"
"242",8.9,"Private"
"243",7.8,"Private"
"244",6.9,"Private"
"245",5.2,"Private"
"246",5.1,"Private"
"247",4.2,"Private"
"248",5,"Private"
"249",6.2,"Private"
"250",6.9,"Private"
"251",6.7,"Private"
"252",12,"Private"
"253",5.7,"Private"
"254",4.6,"Private"
"255",4,"Private"
"256",3,"Private"
"257",1.8,"Private"
"258",2.5,"Private"
"259",3.2,"Private"
"260",4.3,"Private"
"261",3.9,"Private"
"262",2.5,"Private"
"263",2.8,"Private"
"264",2.8,"Private"
"265",5.5,"Private"
"266",6.3,"Private"
"267",7.2,"Private"
"268",5.4,"Private"
"269",6.1,"Private"
"270",6.5,"Private"
"271",6.4,"Private"
"272",5.9,"Private"
"273",5.2,"Private"
"274",4.4,"Private"
"275",6.7,"Private"
"276",8,"Private"
"277",5.5,"Private"
"278",4.4,"Private"
"279",7.5,"Private"
"280",7.4,"Private"
"281",5.1,"Private"
"282",9.3,"Private"
"283",7.4,"Private"
"284",7.2,"Private"
"285",5.2,"Private"
"286",3.6,"Private"
"287",3.6,"Private"
"288",1.6,"Private"
"289",6.6,"Private"
"290",2.7,"Private"
"291",6.4,"Private"
"292",6.7,"Private"
"293",9.1,"Private"
"294",10.2,"Private"
"295",9,"Private"
"296",10.6,"Private"
"297",11.5,"Private"
"298",10.5,"Private"
"299",9.5,"Private"
"300",10.3,"Private"
"301",9.1,"Private"
"302",8.6,"Private"
"303",8.9,"Private"
"304",3.9,"Private"
"305",4.9,"Private"
"306",4.8,"Private"
"307",5.7,"Private"
"308",5.7,"Private"
"309",4.8,"Private"
"310",9.2,"Private"
"311",8.4,"Private"
"312",8.4,"Private"
"313",9.2,"Private"
"314",7.1,"Private"
"315",5.5,"Private"
"316",6.1,"Private"
"317",7.1,"Private"
"318",7.5,"Private"
"319",7.1,"Private"
"320",7.3,"Private"
"321",5.9,"Private"
"322",6.5,"Private"
"323",4.9,"Private"
"324",4.3,"Private"
"325",6.5,"Private"
"326",5.1,"Private"
"327",3.7,"Private"
"328",3.6,"Private"
"329",2.9,"Private"
"330",3.2,"Private"
"331",2.3,"Private"
"332",3.6,"Private"
"333",4.6,"Private"
"334",4.6,"Private"
"335",4.7,"Private"
"336",7,"Private"
"337",4.1,"Private"
"338",2.7,"Private"
"339",3.1,"Private"
"340",13.4,"Private"
"341",11.8,"Private"
"342",11.4,"Private"
"343",9.6,"Private"
"344",8.8,"Private"
"345",8.9,"Private"
"346",11.8,"Private"
"347",14.7,"Private"
"348",10.2,"Private"
"349",12.6,"Private"
"350",11,"Private"
"351",11.4,"Private"
"352",10.7,"Private"
"353",11.1,"Private"
"354",12.1,"Private"
"355",11.9,"Private"
"356",11.8,"Private"
"357",11,"Private"
"358",10.9,"Private"
"359",9.6,"Private"
"360",9.1,"Private"
"361",9.5,"Private"
"362",7.9,"Private"
"363",6.4,"Private"
"364",7.5,"Private"
"365",6.9,"Private"
"366",8.8,"Private"
"367",9.3,"Private"
"368",9.5,"Private"
"369",10,"Private"
"370",10.7,"Private"
"371",8.7,"Private"
"372",11.2,"Private"
"373",16.7,"Private"
"374",10.4,"Private"
"375",11,"Private"
"376",11.1,"Private"
"377",13.7,"Private"
"378",15.3,"Private"
"379",14.1,"Private"
"380",13.9,"Private"
"381",17.4,"Private"
"382",12.8,"Private"
"383",13.7,"Private"
"384",11.7,"Private"
"385",9.8,"Private"
"386",11.6,"Private"
"387",11.3,"Private"
"388",10.3,"Private"
"389",7.9,"Private"
"390",9.3,"Private"
"391",5.3,"Private"
"392",6,"Private"
"393",6.4,"Private"
"394",9,"Private"
"395",8.5,"Private"
"396",9.3,"Private"
"397",9.8,"Private"
"398",9.3,"Private"
"399",10.2,"Private"
"400",8.4,"Private"
"401",9.2,"Private"
"402",11.8,"Private"
"403",10.2,"Private"
"404",3.9,"Private"
"405",3.3,"Private"
"406",5.4,"Private"
"407",6.8,"Private"
"408",5.4,"Private"
"409",3.3,"Private"
"410",4.9,"Private"
"411",4.7,"Private"
"412",6.1,"Private"
"413",5.6,"Private"
"414",4.9,"Private"
"415",5.8,"Private"
"416",6.8,"Private"
"417",8.5,"Private"
"418",8.7,"Private"
"419",7.4,"Private"
"420",8,"Private"
"421",9.4,"Private"
"422",10.1,"Private"
"423",7.1,"Private"
"424",10.7,"Private"
"425",9.5,"Private"
"426",11.2,"Private"
"427",11.9,"Private"
"428",10.3,"Private"
"429",9.5,"Private"
"430",8.1,"Private"
"431",11.1,"Private"
"432",10.1,"Private"
"433",10.9,"Private"
"434",16,"Private"
"435",16.6,"Private"
"436",12.9,"Private"
"437",14,"Private"
"438",14.7,"Private"
"439",15,"Private"
"440",13.2,"Private"
"441",12.4,"Private"
"442",12.1,"Private"
"443",10.6,"Private"
"444",9.7,"Private"
"445",9.4,"Private"
"446",9.4,"Private"
"447",10.6,"Private"
"448",10.8,"Private"
"449",10.9,"Private"
"450",12.2,"Private"
"451",14.3,"Private"
"452",14.1,"Private"
"453",16.1,"Private"
"454",18.2,"Private"
"455",15.6,"Private"
"456",14.8,"Private"
"457",12.8,"Private"
"458",11.8,"Private"
"459",10,"Private"
"460",11.6,"Private"
"461",11.8,"Private"
"462",12.3,"Private"
"463",12,"Private"
"464",16.2,"Private"
"465",14.4,"Private"
"466",15.7,"Private"
"467",15.5,"Private"
"468",16.6,"Private"
"469",17.6,"Private"
"470",17.9,"Private"
"471",16.9,"Private"
"472",19.8,"Private"
"473",13.6,"Private"
"474",13.9,"Private"
"475",15.6,"Private"
"476",16.9,"Private"
"477",17.6,"Private"
"478",16.9,"Private"
"479",17.3,"Private"
"480",18.4,"Private"
"481",18.6,"Private"
"482",18.4,"Private"
"483",18.1,"Private"
"484",19.4,"Private"
"485",19.6,"Private"
"486",18.6,"Private"
"487",18.1,"Private"
"488",17.8,"Private"
"489",19.3,"Private"
"490",19.9,"Private"
"491",21.4,"Private"
"492",20.4,"Private"
"493",20.9,"Private"
"494",21.5,"Private"
"495",14.8,"Private"
"496",12.3,"Private"
"497",16.2,"Private"
"498",15.2,"Private"
"499",14.4,"Private"
"500",15.3,"Private"
"501",13.3,"Private"
"502",13.6,"Private"
"503",14.1,"Private"
"504",14.4,"Private"
"505",14.9,"Private"
"506",16.2,"Private"
"507",19.1,"Private"
"508",16,"Private"
"509",18.4,"Private"
"510",16.9,"Private"
"511",16.7,"Private"
"512",18.9,"Private"
"513",15.9,"Private"
"514",11,"Private"
"515",11.8,"Private"
"516",12.5,"Private"
"517",12.1,"Private"
"518",15.6,"Private"
"519",13.5,"Private"
"520",14.2,"Private"
"521",14.4,"Private"
"522",15.1,"Private"
"523",17.3,"Private"
"524",17.2,"Private"
"525",15.2,"Private"
"526",14.4,"Private"
"527",13.2,"Private"
"528",15.4,"Private"
